50 50 100000
1 name 116.0 16
1 name 140.7 14
1 name 124.7 2
1 name 104.7 6
1 name 111.1 3
1 name 130.0 15
1 name 127.4 20
1 name 141.4 4
1 name 136.3 12
1 name 111.1 6
1 name 138.4 16
1 name 131.8 12
1 name 121.6 15
1 name 124.7 9
1 name 124.7 2
1 name 132.3 10
1 name 144.5 16
1 name 112.0 11
1 name 102.7 18
1 name 143.1 13
1 name 149.3 12
1 name 134.8 3
1 name 113.8 2
1 name 100.4 10
1 name 140.9 19
1 name 110.7 4
1 name 135.6 15
1 name 108.4 6
1 name 117.8 6
1 name 122.3 15
1 name 133.5 2
1 name 147.3 4
1 name 109.0 5
1 name 129.0 8
1 name 110.4 15
1 name 107.4 10
1 name 106.1 11
1 name 124.9 16
1 name 147.4 1
1 name 136.2 17
1 name 123.7 15
1 name 127.1 1
1 name 117.3 20
1 name 128.1 6
1 name 143.0 20
1 name 117.9 15
1 name 113.5 7
1 name 101.3 13
1 name 148.3 9
1 name 109.0 11
1 name 128.1 13
2 name 133.4 6
2 name 125.2 18
2 name 101.4 15
2 name 146.7 20
2 name 114.0 5
2 name 131.3 3
2 name 107.7 20
2 name 110.9 13
2 name 119.2 4
2 name 124.9 20
2 name 107.6 8
2 name 109.9 12
2 name 143.5 10
2 name 149.9 15
2 name 101.8 11
2 name 113.9 19
2 name 120.7 16
2 name 129.5 13
2 name 138.2 3
2 name 127.0 16
2 name 146.8 6
2 name 117.8 13
2 name 114.2 18
2 name 139.1 11
2 name 105.6 6
2 name 106.1 15
2 name 135.7 16
2 name 138.1 6
2 name 122.0 14
2 name 101.9 8
2 name 101.2 5
2 name 137.2 7
2 name 144.3 1
2 name 107.7 20
2 name 135.0 2
2 name 108.7 7
2 name 139.6 12
2 name 130.8 8
2 name 136.9 10
2 name 100.0 19
2 name 124.4 15
2 name 109.6 11
2 name 115.4 17
2 name 112.9 13
2 name 108.7 7
2 name 111.1 20
2 name 149.2 4
2 name 143.6 9
2 name 101.4 5
2 name 111.9 8
2 name 124.0 7
3 name 142.4 20
3 name 142.3 18
3 name 101.0 3
3 name 127.6 13
3 name 107.4 6
3 name 147.5 13
3 name 131.2 8
3 name 140.3 16
3 name 141.8 13
3 name 130.1 15
3 name 140.7 15
3 name 148.8 11
3 name 106.0 5
3 name 134.1 7
3 name 113.4 6
3 name 120.9 3
3 name 123.1 19
3 name 123.9 6
3 name 122.8 16
3 name 117.2 15
3 name 100.0 14
3 name 114.9 16
3 name 114.9 15
3 name 129.4 15
3 name 121.9 7
3 name 129.5 2
3 name 141.0 14
3 name 136.7 18
3 name 107.8 17
3 name 125.1 8
3 name 103.7 10
3 name 133.5 20
3 name 102.1 4
3 name 101.3 18
3 name 111.1 5
3 name 128.3 9
3 name 145.7 17
3 name 121.1 16
3 name 143.3 4
3 name 104.4 15
3 name 141.6 1
3 name 121.1 19
3 name 119.7 1
3 name 139.8 7
3 name 103.0 2
3 name 133.3 1
3 name 133.9 13
3 name 101.3 14
3 name 141.8 13
3 name 143.2 14
3 name 146.6 3
4 name 126.7 6
4 name 101.3 14
4 name 127.6 4
4 name 111.9 7
4 name 107.6 11
4 name 137.6 16
4 name 121.9 6
4 name 103.5 13
4 name 138.0 15
4 name 145.6 20
4 name 105.5 5
4 name 100.3 9
4 name 137.4 5
4 name 149.4 4
4 name 106.7 17
4 name 104.1 18
4 name 100.0 10
4 name 104.0 6
4 name 136.4 12
4 name 100.7 15
4 name 148.7 16
4 name 125.2 2
4 name 115.9 11
4 name 135.2 6
4 name 111.7 2
4 name 137.3 6
4 name 127.9 20
4 name 128.7 3
4 name 139.3 17
4 name 107.2 4
4 name 107.2 16
4 name 147.0 12
4 name 131.3 20
4 name 123.5 8
4 name 117.3 13
4 name 138.3 4
4 name 128.8 14
4 name 102.3 11
4 name 113.2 3
4 name 134.0 18
4 name 113.5 16
4 name 136.9 19
4 name 103.5 4
4 name 134.3 13
4 name 148.1 7
4 name 116.2 17
4 name 117.3 17
4 name 107.7 3
4 name 148.7 1
4 name 107.7 8
4 name 139.1 1
5 name 143.1 16
5 name 116.9 12
5 name 146.2 19
5 name 140.4 18
5 name 115.0 16
5 name 128.5 16
5 name 128.9 2
5 name 145.1 18
5 name 146.4 4
5 name 135.2 9
5 name 129.3 14
5 name 131.6 11
5 name 115.0 1
5 name 102.4 2
5 name 112.8 10
5 name 127.7 15
5 name 107.6 19
5 name 120.7 7
5 name 119.5 6
5 name 123.4 13
5 name 111.2 18
5 name 132.7 12
5 name 144.6 18
5 name 145.0 15
5 name 114.8 6
5 name 118.1 7
5 name 117.5 9
5 name 101.4 6
5 name 122.6 19
5 name 116.4 8
5 name 146.8 12
5 name 134.8 13
5 name 118.9 7
5 name 149.6 18
5 name 104.8 11
5 name 121.2 17
5 name 120.5 15
5 name 148.3 7
5 name 128.4 4
5 name 129.2 11
5 name 103.4 1
5 name 102.1 2
5 name 110.8 4
5 name 146.8 19
5 name 147.5 16
5 name 115.8 1
5 name 119.6 12
5 name 118.6 3
5 name 143.6 3
5 name 126.2 5
5 name 113.1 20
6 name 127.4 14
6 name 149.2 16
6 name 141.9 5
6 name 114.5 7
6 name 110.7 13
6 name 148.1 7
6 name 107.1 17
6 name 131.5 7
6 name 127.2 10
6 name 112.4 16
6 name 133.0 2
6 name 106.0 17
6 name 113.6 5
6 name 107.9 12
6 name 104.6 14
6 name 145.1 7
6 name 135.9 2
6 name 124.3 7
6 name 119.9 13
6 name 117.6 7
6 name 108.1 12
6 name 101.9 11
6 name 150.0 4
6 name 125.6 12
6 name 127.0 3
6 name 123.3 14
6 name 105.1 14
6 name 132.4 6
6 name 117.7 16
6 name 144.1 20
6 name 130.9 5
6 name 141.5 4
6 name 124.1 8
6 name 112.9 13
6 name 114.8 12
6 name 101.2 1
6 name 128.1 10
6 name 106.7 8
6 name 134.7 13
6 name 130.9 4
6 name 121.0 12
6 name 143.2 2
6 name 136.1 19
6 name 116.1 10
6 name 144.6 10
6 name 142.8 11
6 name 131.3 20
6 name 128.5 4
6 name 109.3 5
6 name 137.6 7
6 name 141.6 19
7 name 100.7 2
7 name 116.1 11
7 name 134.0 13
7 name 140.1 7
7 name 104.7 17
7 name 114.1 11
7 name 113.2 3
7 name 145.6 12
7 name 140.7 16
7 name 107.3 12
7 name 114.6 11
7 name 106.8 17
7 name 101.2 10
7 name 149.4 15
7 name 122.2 7
7 name 122.0 7
7 name 123.8 16
7 name 105.0 12
7 name 150.0 15
7 name 126.3 15
7 name 137.3 9
7 name 148.2 12
7 name 130.9 17
7 name 145.6 13
7 name 100.0 4
7 name 149.5 8
7 name 132.7 14
7 name 147.7 3
7 name 109.5 2
7 name 100.4 9
7 name 111.3 4
7 name 118.9 18
7 name 105.6 7
7 name 149.6 9
7 name 111.6 10
7 name 139.3 19
7 name 147.2 6
7 name 125.8 1
7 name 145.0 16
7 name 126.2 13
7 name 129.2 19
7 name 118.4 9
7 name 100.0 9
7 name 138.1 14
7 name 128.8 1
7 name 142.5 15
7 name 112.2 11
7 name 119.2 17
7 name 143.0 13
7 name 131.3 6
7 name 120.4 2
8 name 107.5 14
8 name 128.8 9
8 name 108.8 14
8 name 141.1 9
8 name 113.4 15
8 name 105.1 18
8 name 144.2 10
8 name 137.4 1
8 name 129.2 18
8 name 124.7 5
8 name 144.8 2
8 name 146.3 3
8 name 132.4 5
8 name 110.7 13
8 name 100.6 12
8 name 120.8 8
8 name 142.6 19
8 name 100.4 16
8 name 125.9 2
8 name 118.1 12
8 name 116.4 16
8 name 138.0 13
8 name 105.6 13
8 name 106.7 14
8 name 122.9 16
8 name 135.4 6
8 name 136.5 17
8 name 106.9 12
8 name 107.7 8
8 name 146.8 8
8 name 142.4 11
8 name 137.8 12
8 name 111.1 20
8 name 135.4 11
8 name 139.6 2
8 name 102.7 8
8 name 100.8 15
8 name 119.0 10
8 name 113.9 2
8 name 134.8 8
8 name 110.7 19
8 name 142.0 4
8 name 139.0 9
8 name 140.1 12
8 name 144.0 19
8 name 117.4 2
8 name 113.2 13
8 name 114.7 13
8 name 115.3 8
8 name 116.9 10
8 name 136.2 19
9 name 102.9 8
9 name 105.3 4
9 name 140.0 9
9 name 141.2 12
9 name 121.0 1
9 name 140.9 10
9 name 116.3 20
9 name 137.5 20
9 name 126.0 8
9 name 129.9 20
9 name 131.6 7
9 name 107.1 19
9 name 120.1 18
9 name 129.4 2
9 name 111.2 1
9 name 120.4 8
9 name 144.1 2
9 name 125.2 9
9 name 106.6 12
9 name 128.9 11
9 name 119.6 12
9 name 114.0 10
9 name 144.4 2
9 name 126.6 20
9 name 144.0 6
9 name 141.2 14
9 name 114.5 10
9 name 110.9 3
9 name 128.3 19
9 name 144.2 18
9 name 132.0 19
9 name 112.1 16
9 name 125.3 4
9 name 141.3 5
9 name 105.0 14
9 name 142.7 4
9 name 121.9 9
9 name 110.1 19
9 name 129.5 7
9 name 112.6 2
9 name 104.6 11
9 name 119.6 20
